Entry	Gene names	Subcellular location [CC]
O60266	ADCY3 KIAA0511	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:11549699}; Multi-pass membrane protein {ECO:0000305}. Cytoplasm {ECO:0000269|PubMed:11549699}. Cell projection, cilium {ECO:0000250|UniProtKB:Q8VHH7}. Golgi apparatus {ECO:0000250|UniProtKB:P21932}. Note=Also detected in the cytoplasm, close to lipid droplets. {ECO:0000269|PubMed:11549699}.
Q92625	ANKS1A ANKS1 KIAA0229 ODIN	SUBCELLULAR LOCATION: Cytoplasm. Cell projection {ECO:0000250}. Note=Cytoplasmic before and after growth factor treatment.
P42684	ABL2 ABLL ARG	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton.
Q96M93	ADAD1 TENR	SUBCELLULAR LOCATION: Nucleus {ECO:0000250}.
Q9P2A4	ABI3 NESH	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11956071}. Note=Colocalizes with PAK2 at leading edge of cells.
Q14315	FLNC ABPL FLN2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:11038172, ECO:0000269|PubMed:25351925}. Membrane {ECO:0000269|PubMed:11038172}; Peripheral membrane protein {ECO:0000269|PubMed:11038172}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:11038172}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000269|PubMed:11038172}. Note=A small amount localizes at membranes. In striated muscle cells, it predominantly localizes in myofibrillar Z lines, while a minor fraction localizes with subsarcolemme. Targeting to developing and mature Z lines is mediated by the intradomain insert.
Q96AY3	FKBP10 FKBP65 PSEC0056	SUBCELLULAR LOCATION: Endoplasmic reticulum lumen {ECO:0000255|PROSITE-ProRule:PRU10138}.
Q8N1E6	FBXL14 FBL14	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19955572}.
Q9NU39	FOXD4L1	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00089}.
Q6PCT2	FBXL19 FBL19	
A6NMN3	FAM170B C10orf73	SUBCELLULAR LOCATION: Cytoplasmic vesicle, secretory vesicle, acrosome {ECO:0000269|PubMed:26179146}. Cytoplasmic vesicle, secretory vesicle, acrosome outer membrane {ECO:0000250|UniProtKB:E9PXT9}.
Q9BQS8	FYCO1 ZFYVE7	SUBCELLULAR LOCATION: Cytoplasmic vesicle, autophagosome. Endosome. Lysosome. Note=Localizes to the external but not to the internal membrane of autophagosomes, and upon autophagosome/late endosome/lysosome fusion, it stays on the external surface of autolysosomes.
Q96ND0	FAM210A C18orf19	SUBCELLULAR LOCATION: Membrane {ECO:0000255, ECO:0000305}; Single-pass membrane protein {ECO:0000255}. Mitochondrion {ECO:0000250|UniProtKB:Q8BGY7}. Cytoplasm {ECO:0000250|UniProtKB:Q8BGY7}.
Q16698	DECR1 DECR SDR18C1	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:7818482}.
O75344	FKBP6 FKBP36	SUBCELLULAR LOCATION: Cytoplasm, cytosol {ECO:0000250}. Nucleus {ECO:0000250}. Chromosome {ECO:0000250}. Note=Does not localize to pi-bodies. Localizes to meiotic chromosome cores and regions of homologous chromosome synapsis (By similarity). {ECO:0000250}.
O60825	PFKFB2	
Q8WXF8	DEDD2 FLAME3 PSEC0004	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:11965497}. Note=Nuclear, accumulated in subnuclear structures resembling nucleoli.
Q86Y01	DTX1	SUBCELLULAR LOCATION: Cytoplasm. Nucleus. Note=Predominantly cytoplasmic. Associates with endocytic vesicles. Partially nuclear.
Q5XKK7	FAM219B C15orf17	
A6NEW6	FAM90A16P FAM90A16; FAM90A17P FAM90A17	
A6NKC0	FAM90A7P FAM90A7	
P58499	FAM3B C21orf11 C21orf76 PRED44 UNQ320/PRO365	SUBCELLULAR LOCATION: Secreted. Note=Present in insulin secretory granules and likely cosecreted with insulin. Localized in discrete vesicular and perinuclear structure.
Q8TBF8	FAM81A	
Q658Y4	FAM91A1	SUBCELLULAR LOCATION: Golgi apparatus, trans-Golgi network {ECO:0000269|PubMed:29084197, ECO:0000269|PubMed:29426865}. Cytoplasmic vesicle {ECO:0000269|PubMed:29426865}. Note=Recruitment to the TGN requires the presence of GOLGA1, GOLGA4 and TBC1D23. {ECO:0000269|PubMed:29084197}.
Q6ZRV2	FAM83H	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton {ECO:0000269|PubMed:23902688}. Note=Colocalizes with keratin filaments. {ECO:0000269|PubMed:23902688}.
Q9NVI1	FANCI KIAA1794	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:17412408, ECO:0000269|PubMed:17460694, ECO:0000269|PubMed:19465922}. Note=Observed in spots localized in pairs on the sister chromatids of mitotic chromosome arms and not centromeres, one on each chromatids. These foci coincide with common fragile sites. They are frequently interlinked through BLM-associated ultra-fine DNA bridges.
Q9NQR9	G6PC2 IGRP	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15044018}; Multi-pass membrane protein {ECO:0000269|PubMed:15044018}.
Q96PT3	DUX5	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q8N539	FIBCD1 UNQ701/PRO1346	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type II membrane protein {ECO:0000305}.
Q8WWB3	DYDC1 DPY30D1 RSD-9 RSD9	
Q4QY38	DEFB134	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q9NR23	GDF3 UNQ222/PRO248	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:19864492, ECO:0000269|PubMed:21805089}. Cytoplasm {ECO:0000269|PubMed:19864492, ECO:0000269|PubMed:21805089}. Note=Mainly accumulated in the cytoplasm. {ECO:0000269|PubMed:21805089}.
Q9NV06	DCAF13 WDSOF1 HSPC064	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:24754225}. Note=In the nucleolus, localizes predominantly in the granular component, but also detected in the fibrillar center and dense fibrillar component. {ECO:0000269|PubMed:24754225}.
Q5XUX1	FBXW9 FBW9	
Q64ET8	FRG2 FRG2A	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15520407}.
Q6BAA4	FCRLB FCRL2 FCRLM2 FCRY FREB2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:15551350, ECO:0000269|PubMed:15676285, ECO:0000269|PubMed:15815692}. Endoplasmic reticulum {ECO:0000305|PubMed:15815692}. Note=Seems not to be secreted. {ECO:0000269|PubMed:15676285}.
Q9NYK6	EURL C21orf14 C21orf38 C21orf91 YG81	
Q68DX3	FRMPD2 PDZD5C PDZK4 PDZK5C	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}. Basolateral cell membrane {ECO:0000269|PubMed:19706687}. Cell junction, tight junction {ECO:0000269|PubMed:19706687}. Note=Colocalizes with CTNNB1, CDH1 and PKP4 at the basolateral membrane. Colocalizes with TJP1 at tight junctions. Its recruitment to cell-cell contacts requires CDH1.
P41212	ETV6 TEL TEL1	SUBCELLULAR LOCATION: Nucleus.
A8MYV0	DCDC2C	SUBCELLULAR LOCATION: Cell projection, cilium, flagellum {ECO:0000269|PubMed:28395323}. Cytoplasm {ECO:0000269|PubMed:28395323}. Note=Detected along the length of the sperm flagellum and in the cytoplasm of the germ cells. {ECO:0000269|PubMed:28395323}.
Q19T08	ECSCR ECSM2	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Cytoplasm.
Q92838	EDA ED1 EDA2	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:O54693}; Single-pass type II membrane protein {ECO:0000250|UniProtKB:O54693}.; SUBCELLULAR LOCATION: [Ectodysplasin-A, secreted form]: Secreted {ECO:0000269|PubMed:11309369}.
P05305	EDN1	SUBCELLULAR LOCATION: Secreted.
P17538	CTRB1 CTRB	SUBCELLULAR LOCATION: Secreted, extracellular space.
Q96G04	EEF2KMT FAM86A SB153	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:23349634}.
Q92604	LPGAT1 FAM34A KIAA0205	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:15485873}; Multi-pass membrane protein {ECO:0000269|PubMed:15485873}.
O75953	DNAJB5 HSC40	
Q6ZV56	C22orf34	
P52429	DGKE DAGK5	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}. Membrane {ECO:0000269|PubMed:23542698}. Cytoplasm {ECO:0000269|PubMed:23542698}.
P41214	EIF2D HCA56 LGTN	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:20566627}.
A0PJW8	DAPL1 EEDA	
P52798	EFNA4 EPLG4 LERK4	SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Lipid-anchor, GPI-anchor.; SUBCELLULAR LOCATION: [Isoform 2]: Secreted {ECO:0000305}.
Q9HBX8	LGR6 UNQ6427/PRO21331 VTS20631	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22615920}; Multi-pass membrane protein {ECO:0000269|PubMed:22615920}.
P07099	EPHX1 EPHX EPOX	SUBCELLULAR LOCATION: Microsome membrane {ECO:0000250|UniProtKB:P07687}; Single-pass type III membrane protein {ECO:0000250|UniProtKB:P07687}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P07687}; Single-pass type III membrane protein {ECO:0000250|UniProtKB:P07687}.
O75473	LGR5 GPR49 GPR67	SUBCELLULAR LOCATION: Cell membrane; Multi-pass membrane protein. Golgi apparatus, trans-Golgi network membrane; Multi-pass membrane protein. Note=Rapidly and constitutively internalized to the trans-Golgi network at steady state. Internalization to the trans-Golgi network may be the result of phosphorylation at Ser-861 and Ser-864; however, the phosphorylation event has not been proven (PubMed:23439653). {ECO:0000269|PubMed:23439653}.
P56199	ITGA1	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q13651	IL10RA IL10R	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:22087322, ECO:0000269|PubMed:26962683}; Single-pass type I membrane protein. Cytoplasm {ECO:0000269|PubMed:26962683}.
Q6N075	MFSD5 UNQ832/PRO1759	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q6MZN7	HCP5	
Q9Y4A0	JRKL	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00320, ECO:0000255|PROSITE-ProRule:PRU00583}.
P01563	IFNA2 IFNA2A IFNA2B IFNA2C	SUBCELLULAR LOCATION: Secreted.
Q5TF58	IFFO2	
Q96KC2	ARL5B ARL8	
Q8N7R7	CCNYL1	
Q5T2S8	ARMC4	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, cilium axoneme {ECO:0000269|PubMed:23849778}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:23849778}.
Q86Y22	COL23A1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}; Extracellular side {ECO:0000250}.
A8K830	COLCA2 C11orf93 CASC13	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24154973}.
Q5T4H9	CASC10 C10orf114	
Q15762	CD226 DNAM1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Single-pass type I membrane protein {ECO:0000305}.
P55290	CDH13 CDHH	SUBCELLULAR LOCATION: Cell membrane; Lipid-anchor, GPI-anchor.
Q9NUP1	BLOC1S4 CNO	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250}.
Q14183	DOC2A	SUBCELLULAR LOCATION: Lysosome {ECO:0000250}. Cytoplasmic vesicle, secretory vesicle, synaptic vesicle membrane {ECO:0000305}; Peripheral membrane protein {ECO:0000305}. Cell junction, synapse, synaptosome.
Q14184	DOC2B DOC2BL	SUBCELLULAR LOCATION: Cytoplasm. Cytoplasmic granule {ECO:0000250}. Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Note=Translocates to the plasma membrane in a calcium-dependent manner. {ECO:0000250}.
O76093	FGF18 UNQ420/PRO856	SUBCELLULAR LOCATION: Secreted {ECO:0000250}.
Q7L2E3	DHX30 DDX30 KIAA0890	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:29100085}. Mitochondrion {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:29100085}. Mitochondrion matrix, mitochondrion nucleoid {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:18063578, ECO:0000269|PubMed:25683715}. Note=Localizes to mitochondrial RNA granules found in close proximity to the mitochondrial nucleoids (PubMed:16825194, PubMed:25683715). Relocalizes to stress granules upon heat stress (PubMed:29100085). {ECO:0000269|PubMed:16825194, ECO:0000269|PubMed:25683715, ECO:0000269|PubMed:29100085}.
Q6UWR7	ENPP6 UNQ1889/PRO4334	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15788404}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:15788404}. Note=A small amount of the protein may be found in the extracellular milieu.
Q8IYB7	DIS3L2 FAM6A	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:24141620}. Cytoplasm, P-body.
O60879	DIAPH2 DIA	SUBCELLULAR LOCATION: [Isoform 3]: Cytoplasm, cytosol. Early endosome. Note=Isoform 3 is cytosolic but when coexpressed with RHOD, the 2 proteins colocalize to early endosomes.
Q5VUD6	DIPK1B C9orf136 FAM69B PP6977	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Single-pass type II membrane protein {ECO:0000250}.
Q9UBC7	GALP	SUBCELLULAR LOCATION: Secreted.
P20036	HLA-DPA1 HLA-DP1A HLASB	SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Endoplasmic reticulum membrane; Single-pass type I membrane protein. Golgi apparatus, trans-Golgi network membrane; Single-pass type I membrane protein. Endosome membrane; Single-pass type I membrane protein. Lysosome membrane; Single-pass type I membrane protein. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation.
P42261	GRIA1 GLUH1 GLUR1	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:23739980}; Multi-pass membrane protein {ECO:0000269|PubMed:23739980}. Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:P19490}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P19490}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000269|PubMed:23739980}; Multi-pass membrane protein {ECO:0000269|PubMed:23739980}. Cell junction, synapse, postsynaptic density membrane {ECO:0000250|UniProtKB:P23818}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P23818}. Cell projection, dendrite {ECO:0000250|UniProtKB:P23818}. Cell projection, dendritic spine {ECO:0000250|UniProtKB:P23818}. Early endosome membrane {ECO:0000250|UniProtKB:P19490}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P19490}. Recycling endosome membrane {ECO:0000250|UniProtKB:P19490}; Multi-pass membrane protein {ECO:0000250|UniProtKB:P19490}. Note=Interaction with CACNG2, CNIH2 and CNIH3 promotes cell surface expression. Colocalizes with PDLIM4 in early endosomes. Displays a somatodendritic localization and is excluded from axons in neurons (By similarity). Localized to cone photoreceptor pedicles (By similarity). {ECO:0000250|UniProtKB:P19490, ECO:0000250|UniProtKB:P23818}.
Q86V85	GPR180 ITR	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
O43903	GAS2	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, stress fiber {ECO:0000269|PubMed:24706950}. Membrane {ECO:0000250|UniProtKB:P11862}; Peripheral membrane protein {ECO:0000250|UniProtKB:P11862}. Note=Component of the microfilament system. Colocalizes with actin fibers at the cell border and along the stress fibers in growth-arrested fibroblasts. Mainly membrane-associated. When hyperphosphorylated, accumulates at membrane ruffles. {ECO:0000250|UniProtKB:P11862}.
Q92616	GCN1 GCN1L1 KIAA0219	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000250|UniProtKB:E9PVA8}. Note=Associates with ribosomes in undifferentiated neuroblastoma cells and increases after neuronal differentiation. {ECO:0000250|UniProtKB:E9PVA8}.
P48060	GLIPR1 GLIPR RTVP1	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass membrane protein {ECO:0000305}.
O14490	DLGAP1 DAP1 GKAP	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250}; Peripheral membrane protein {ECO:0000250}. Cell junction, synapse, postsynaptic density {ECO:0000250}. Cell junction, synapse {ECO:0000250}.
Q9BQ67	GRWD1 GRWD KIAA1942 WDR28	SUBCELLULAR LOCATION: Nucleus, nucleolus {ECO:0000269|PubMed:12429849}. Nucleus {ECO:0000269|PubMed:25990725}. Chromosome {ECO:0000269|PubMed:25990725}. Note=Present in the nucleus throughout interphase and is detached from chromatin at the onset of mitosis and rebinds at telophase when the pre-replication complexes (pre-RC) is formed (PubMed:25990725). {ECO:0000269|PubMed:25990725}.
Q9NRF9	POLE3 CHRAC17	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
O75417	POLQ POLH	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:O18475}. Chromosome {ECO:0000269|PubMed:25642963}. Note=Enriched in chromatin in response to ultaviolet (UV) light (PubMed:25642963). Binds to chromatin during early G1 (PubMed:24989122). {ECO:0000269|PubMed:24989122, ECO:0000269|PubMed:25642963}.
Q8IYD1	GSPT2 ERF3B	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000305}.
O14625	CXCL11 ITAC SCYB11 SCYB9B	SUBCELLULAR LOCATION: Secreted.
P11532	DMD	SUBCELLULAR LOCATION: Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P11531}; Peripheral membrane protein {ECO:0000250|UniProtKB:P11531}; Cytoplasmic side {ECO:0000250|UniProtKB:P11531}. Cytoplasm, cytoskeleton {ECO:0000250|UniProtKB:P11531}. Cell junction, synapse, postsynaptic cell membrane {ECO:0000250|UniProtKB:P11531}. Note=In muscle cells, sarcolemma localization requires the presence of ANK2, while localization to costameres requires the presence of ANK3. Localizes to neuromuscular junctions (NMJs). In adult muscle, NMJ localization depends upon ANK2 presence, but not in newborn animals. {ECO:0000250|UniProtKB:P11531}.
Q7L190	DPPA4	SUBCELLULAR LOCATION: Nucleus {ECO:0000250|UniProtKB:Q8CCG4}. Note=Associated with transcriptionally active chromatin. {ECO:0000250|UniProtKB:Q8CCG4}.
O43854	EDIL3 DEL1	SUBCELLULAR LOCATION: Secreted.
P29692	EEF1D EF1D	SUBCELLULAR LOCATION: [Isoform 2]: Nucleus {ECO:0000269|PubMed:21597468}.
Q9NV44	LINC00846 C21orf77	
P58513	LINC00158 C21orf42 NCRNA00158	
P31689	DNAJA1 DNAJ2 HDJ2 HSJ2 HSPF4	SUBCELLULAR LOCATION: Membrane {ECO:0000305|PubMed:10816573}; Lipid-anchor {ECO:0000305|PubMed:10816573}. Cytoplasm {ECO:0000269|PubMed:10816573}. Microsome {ECO:0000250}. Nucleus {ECO:0000269|PubMed:10816573}. Cytoplasm, perinuclear region {ECO:0000269|PubMed:10816573}. Mitochondrion {ECO:0000250}. Note=Primarily associated with microsomes. A minor proportion is associated with mitochondria (By similarity). Primarily cytoplasmic. A minor proportion is associated with nuclei. {ECO:0000250}.
P26641	EEF1G EF1G PRO1608	
P0DP74	DEFB130A DEFB130 DEFB30	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q2PZI1	DPY19L1 GA0500 KIAA0877	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
P59861	DEFB131A DEFB131 DEFB31	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q99543	DNAJC2 MPHOSPH11 MPP11 ZRF1	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:21179169}. Cytoplasm, cytosol {ECO:0000269|PubMed:16002468, ECO:0000269|PubMed:21179169}.
Q8WUS8	SDR42E1 HSPC105	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Multi-pass membrane protein {ECO:0000305}.
Q8WXU2	DNAAF4 DYX1C1 EKN1	SUBCELLULAR LOCATION: Nucleus. Cytoplasm.
P17813	ENG END	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:10545596, ECO:0000269|PubMed:1326540, ECO:0000269|PubMed:1692830, ECO:0000269|PubMed:17540773, ECO:0000269|PubMed:8370410}; Single-pass type I membrane protein {ECO:0000305|PubMed:1692830, ECO:0000305|PubMed:8370410}.
Q05215	EGR4	SUBCELLULAR LOCATION: Nucleus {ECO:0000305}.
Q96F07	CYFIP2 KIAA1168 PIR121	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:10449408, ECO:0000269|PubMed:17245118}. Nucleus {ECO:0000269|PubMed:17245118}. Cytoplasm, perinuclear region {ECO:0000250|UniProtKB:Q5SQX6}. Cell junction, synapse, synaptosome {ECO:0000250|UniProtKB:Q5SQX6}. Note=Highly expressed in the perinuclear regionand enriched in synaptosomes (By similarity). Treatment with leptomycin-B triggers translocation to the nucleus (PubMed:17245118). {ECO:0000250|UniProtKB:Q5SQX6, ECO:0000269|PubMed:17245118}.
P55884	EIF3B EIF3S9	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03001}.
Q07325	CXCL9 CMK MIG SCYB9	SUBCELLULAR LOCATION: Secreted.
O75907	DGAT1 AGRP1 DGAT	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250|UniProtKB:Q9Z2A7}; Multi-pass membrane protein {ECO:0000250|UniProtKB:Q9Z2A7}.
Q9BY27	DGCR6L	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:15821931}. Note=Predominantly nuclear.
P20827	EFNA1 EPLG1 LERK1 TNFAIP4	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18794797}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:18794797}.; SUBCELLULAR LOCATION: [Ephrin-A1, secreted form]: Secreted {ECO:0000269|PubMed:18794797}.
P19876	CXCL3 GRO3 GROG SCYB3	SUBCELLULAR LOCATION: Secreted.
Q86XP1	DGKH	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:12810723, ECO:0000269|PubMed:19710016}. Cell membrane {ECO:0000269|PubMed:12810723, ECO:0000269|PubMed:19710016}. Note=Translocated from the cytoplasm to endosomes in response to stress stimuli (PubMed:12810723). Isoform 2 is rapidly relocated back to the cytoplasm upon removal of stress stimuli, whereas isoform 1 exhibits sustained endosomal association (PubMed:12810723). Translocates from the cytoplasm to the cell membrane in the presence of active GTP-bound form of HRAS (PubMed:19710016).
Q15768	EFNB3 EPLG8 LERK8	SUBCELLULAR LOCATION: Membrane; Single-pass type I membrane protein.
Q8NBQ5	HSD17B11 DHRS8 PAN1B SDR16C2 PSEC0029 UNQ207/PRO233	SUBCELLULAR LOCATION: Endoplasmic reticulum {ECO:0000250|UniProtKB:Q9EQ06}. Lipid droplet {ECO:0000250|UniProtKB:Q9EQ06}. Note=Redistributed from the endoplasmic reticulum to lipids droplets in the cell upon induction of lipids droplet formation. {ECO:0000250|UniProtKB:Q9EQ06}.
P50579	METAP2 MNPEP P67EIF2	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03175, ECO:0000269|PubMed:21537465}. Note=About 30% of expressed METAP2 associates with polysomes.
P31249	HOXD3 HOX1D HOX4A	SUBCELLULAR LOCATION: Nucleus.
Q99075	HBEGF DTR DTS HEGFL	SUBCELLULAR LOCATION: [Heparin-binding EGF-like growth factor]: Secreted, extracellular space. Note=Mature HB-EGF is released into the extracellular space and probably binds to a receptor.; SUBCELLULAR LOCATION: [Proheparin-binding EGF-like growth factor]: Cell membrane; Single-pass type I membrane protein.
O75409	HYPM CXorf27	
Q9Y3E1	HDGFL3 HDGF2 HDGFRP3 CGI-142	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:10581169}.
Q13136	PPFIA1 LIP1	SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:7796809}. Note=Colocalizes with PTPRF at the ends of focal adhesions most proximal to the cell nucleus.
Q9HCP6	HHATL C3orf3 GUP1 KIAA1173	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000250}; Multi-pass membrane protein {ECO:0000250}.
A6NFD8	HELT	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00380, ECO:0000255|PROSITE-ProRule:PRU00981}.
Q9NWW7	C2orf42	
P36894	BMPR1A ACVRLK3 ALK3	SUBCELLULAR LOCATION: Cell membrane {ECO:0000250|UniProtKB:P36898}; Single-pass type I membrane protein {ECO:0000255}. Cell surface {ECO:0000250|UniProtKB:P36895}.
P24588	AKAP5 AKAP79	SUBCELLULAR LOCATION: Membrane {ECO:0000269|PubMed:21771783}; Lipid-anchor {ECO:0000269|PubMed:21771783}. Note=Associates with lipid rafts.
O14627	CDX4	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00108}.
Q8WVQ1	CANT1 SHAPY	SUBCELLULAR LOCATION: Endoplasmic reticulum membrane {ECO:0000269|PubMed:12234496}; Single-pass type II membrane protein {ECO:0000269|PubMed:12234496}. Golgi apparatus, Golgi stack membrane {ECO:0000269|PubMed:12234496}; Single-pass type II membrane protein {ECO:0000269|PubMed:12234496}. Cell membrane {ECO:0000269|PubMed:16835225}. Note=Processed form: Secreted.
P49715	CEBPA CEBP	SUBCELLULAR LOCATION: Nucleus {ECO:0000269|PubMed:11242107}.; SUBCELLULAR LOCATION: [Isoform 4]: Nucleus, nucleolus {ECO:0000269|PubMed:20075868}.
P48448	ALDH3B2 ALDH8	SUBCELLULAR LOCATION: Lipid droplet {ECO:0000250|UniProtKB:E9Q3E1}.
P31997	CEACAM8 CGM6	SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:2208113}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:2208113}. Cell surface {ECO:0000269|PubMed:8776764}.
P19835	CEL BAL	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:21784842}.
P02768	ALB GIG20 GIG42 PRO0903 PRO1708 PRO2044 PRO2619 PRO2675 UNQ696/PRO1341	SUBCELLULAR LOCATION: Secreted.
Q8N111	CEND1 BM88	SUBCELLULAR LOCATION: Membrane {ECO:0000305}; Single-pass type IV membrane protein {ECO:0000305}.
H3BU77	CCDC179	
Q12798	CETN1 CEN1 CETN	SUBCELLULAR LOCATION: Cytoplasm, cytoskeleton, microtubule organizing center, centrosome {ECO:0000269|PubMed:8175926}. Note=Centrosome of interphase and mitotic cells. {ECO:0000269|PubMed:8175926}.
Q9NRP2	CMC2 C16orf61 DC13	SUBCELLULAR LOCATION: Mitochondrion {ECO:0000269|PubMed:20220131}.
Q9GZN4	PRSS22 BSSP4 PRSS26 SP001LA UNQ302/PRO343	SUBCELLULAR LOCATION: Secreted {ECO:0000269|PubMed:11602603}.
A0A096LP49	CCDC187	
Q9BXJ4	C1QTNF3 CTRP3 UNQ753/PRO1484	SUBCELLULAR LOCATION: Secreted {ECO:0000305}.
Q99929	ASCL2 BHLHA45 HASH2	SUBCELLULAR LOCATION: Nucleus {ECO:0000255|PROSITE-ProRule:PRU00981, ECO:0000269|PubMed:11440538}.
Q9Y689	ARL5A ARFLP5 ARL5	
